DID	nric	name	dob	gender
3685	S0154845Y	Juanvito Aditya Pratama	1980-12-03	M
3703	S1965076R	Renette Chan	1968-05-14	M
5653	S1439847R	Nicholas Wong	1982-10-12	M
6720	S1558962I	Mathilda Lam Yun Khoon	1989-09-02	M
7144	S0591749T	Rasesh D. Selvasegaran	1972-02-10	M
7881	S0048260N	Sean Sim	1989-07-24	M
10791	S1139875I	Abdul Khalim Bin Mohammad Aydin	1966-01-22	F
13274	S6961022P	Ding Kok Meng	1961-02-15	M
13308	S4718238A	Ding Zi Rui	1966-10-24	F
13476	S5295421R	Yeo Guo Ming Nur Irffan Bin Izhar Izuddin	1962-03-24	M
13761	S1096437Z	G. N. Vinu Krishna	1975-08-15	M
14850	S1893279F	Nigel Tan	1987-08-13	M
15175	S0822532K	Ian Pereira	1988-12-04	M
16526	S5271280P	Lau Cheng Boon	1968-12-08	M
16661	S0369467T	Nerissa Koh	1968-10-10	F
17094	S881836Q	Abdullah Aniq Bin Noh Yacob	1970-10-19	M
17245	S1327364C	Lim You Tang	1987-10-16	M
17372	S6941313W	Ng Jia Xin	1972-12-19	M
17497	S5563400S	Cheong Kai Xin	1964-10-13	M
17877	S5822959M	Siti Hazlina Binte Raihan Nazir	1960-05-20	F
18366	S5520277C	Lin Wen Kai	1962-12-09	M
19258	S5656597F	Teo Min Hui	1964-12-31	M
21233	S996118O	Huang Zi Yi	1966-02-13	F
22027	S2122336M	Tung Jun De	1965-03-10	F
22875	S2871461X	Teo En Hui	1972-08-03	M
22916	S1045194I	Kang Kai Ming	1976-08-09	M
23181	S1058550X	Sherman Seah	1976-09-26	M
25114	S5333863J	Du Zhi Xin	1969-05-05	F
25913	S5697315N	Lye Zi Yi	1980-05-22	F
28293	S6669542K	Deng Cheng Hao	1970-10-26	M
29453	S1847890L	Aaryan Sathasivam s/o P. Loganathan	1976-07-23	F
29545	S6997797X	Siti Nurbaya Binte Mohammad Rizal	1975-11-22	F
29984	S0535435O	Chin Kit Leong	1988-12-10	M
31844	S1676766J	Qian Xin Ling	1979-06-29	M
32066	S4190162O	He Xuan Ying	1964-11-06	M
32143	S4309608P	Guo Yong Chang	1971-03-28	M
32482	S1354577J	Louis Poh Qi Bin	1985-03-05	M
32523	S6982477O	Choo Sing Yu	1975-03-27	F
33112	S3060161Q	Tang Zhi En	1969-10-17	M
33969	S5033128A	Diah Sharifah Binte Muhamad Ali	1970-12-05	F
34371	S1565400E	Rachel See Rui Xia	1975-12-24	M
34543	S1139364A	Max Yeo Chung Ji	1983-08-30	M
35013	S5748271U	Phoon Wen Ming	1967-07-14	M
35433	S1151726I	Sam Yeo Tee Yang	1986-09-17	M
36111	S6032762T	Baruni Sathasivam d/o A. Murthy	1980-05-01	M
36405	S1448090C	Ye Jia Qi	1962-10-25	M
36662	S1348956Y	Daniel Koh Ming Sheng	1985-03-08	M
36948	S0224086U	Mindez Chua	1977-04-13	M
38320	S1300568Z	Hong Oon Toh	1984-02-10	M
38749	S3898541V	Rihan Sharma s/o A. Mohan	1975-04-30	F
41071	S3505112H	Soo Jia Jun	1961-02-15	M
41854	S4769702J	Fan Zheng En	1969-02-15	M
42483	S3482906H	Kabr Chandrasekaran s/o P. Thevar	1975-08-15	M
43172	S6491963D	Hong Hao Qiang	1969-04-22	F
43721	S3134488U	Fung Zheng De	1970-04-06	M
44037	S1412794C	Jing Xuan Lau	1982-07-18	M
44241	S0328210Y	Hong Kim Toh	1981-01-04	M
44664	S6349702U	Praneeta Jayaraj d/o M. Kumaran	1961-05-22	F
44914	S1831498O	Ridwan Salaman Bin Muhamad Islan	1974-06-26	F
