ID	NRIC	Time	penalty	paycard	SID	Sdate	Stime	OID
1	S0416179C	21:36:15	4.52	NULL	174	2019-05-31	21:20:00	81275
2	S1080247D	11:38:05	1.49	469	587	2021-03-06	11:22:00	48691
3	S1122087H	18:42:00	3.9	113	111	2019-07-09	18:11:00	85284
4	S1364901D	12:13:45	10.45	NULL	106	2021-06-19	11:47:00	34741
5	S1423417I	7:58:30	17.77	260	106	2019-04-06	7:45:00	9015
6	S1423417I	5:45:00	6.91	293	740	2019-07-18	5:30:00	71922
7	S1665316J	19:57:00	9.62	151	598	2020-02-14	19:35:00	99758
8	S1671249C	18:22:05	6.83	NULL	162	2021-01-05	18:00:00	87738
9	S1723521H	8:55:00	5.06	91	587	2019-01-04	7:40:00	90305
10	S1823174G	6:01:00	10	168	16	2019-03-04	5:30:00	9640
11	S1854070C	21:59:55	14.86	39	732	2019-06-22	21:54:00	9015
12	S1936176D	12:43:20	8.95	217	701	2019-02-24	12:31:00	87738
13	S1936176D	13:49:20	5.95	452	602	2020-12-05	13:34:00	23998
14	S1945380D	20:59:15	6.72	24	190	2019-11-02	20:34:00	3379
15	S1981865I	8:01:30	2.54	34	106	2019-04-06	7:45:00	90305
16	S1984281I	11:22:15	17.24	NULL	124	2021-09-30	11:15:00	7277
17	S1984281I	15:51:00	7.02	264	805	2019-11-22	15:44:00	95471
18	S2038362C	22:57:45	18.22	447	175	2019-08-02	22:45:00	67400
19	S2038362C	7:58:00	1.34	331	106	2021-03-24	7:45:00	7277
20	S2096944Z	13:47:15	2.17	157	162	2021-10-29	13:23:00	81275
21	S2190029J	12:25:05	9.29	458	36	2020-04-02	12:19:00	87738
22	S2394869I	11:01:00	7.12	119	518	2020-01-22	10:26:00	77911
23	S2550125Z	15:52:00	3.01	362	805	2019-11-22	15:44:00	95471
24	S2914708F	6:22:50	9.38	347	518	2020-09-01	6:00:00	44913
25	S3207073F	5:45:45	19.06	183	7	2021-04-06	5:30:00	62453
26	S3415414G	13:39:00	15.83	128	190	2020-10-31	13:16:00	52051
27	S3415414G	7:59:00	16.82	NULL	590	2020-06-17	7:40:00	39721
28	S3474882I	22:45:00	8.72	121	174	2019-05-11	21:20:00	5384
29	S3775077H	15:52:10	4.28	234	805	2019-11-22	15:44:00	95471
30	S3895968I	18:30:00	7.04	162	7	2019-01-18	18:00:00	19460
31	S4071703Z	20:09:20	15.35	477	960	2020-06-20	19:54:00	85707
32	S4097202A	6:00:00	2.52	327	162	2021-10-08	5:30:00	48691
33	S4552882J	11:52:35	8.36	141	598	2020-09-01	11:36:00	5384
34	S4629727Z	13:54:45	15.95	NULL	171	2021-04-01	13:45:00	12084
35	S4629727Z	21:11:10	12.48	160	740	2019-05-16	20:59:00	44913
36	S4713945G	19:59:00	5.39	458	960	2020-06-20	19:54:00	85707
37	S4866027D	11:58:05	1.25	110	650	2019-07-23	11:46:00	90307
38	S4998712I	15:53:10	17.81	357	167	2020-12-19	15:49:00	90517
39	S4998712I	18:41:00	19.25	450	124	2019-06-09	18:34:00	87738
40	S5019766B	5:47:45	5.89	64	167	2019-08-19	5:30:00	3379
41	S5194199C	20:43:15	1.52	27	587	2020-01-12	19:29:00	85284
42	S5194199C	11:31:00	11.05	NULL	167	2021-05-04	11:12:00	57320
43	S5194199C	16:58:00	9.97	400	502	2020-04-15	16:46:00	17679
44	S5329953I	22:56:20	7.21	25	106	2020-05-16	22:32:00	32635
45	S5457637D	12:00:15	2.96	61	171	2019-05-25	10:59:00	26997
46	S5469242J	18:20:20	1.32	NULL	16	2020-12-19	18:00:00	92736
47	S5478063Z	20:42:50	2.04	NULL	171	2020-07-24	20:29:00	3379
48	S5573743F	17:47:10	2.37	83	106	2020-04-12	17:23:00	77911
49	S5949478C	6:40:45	1.24	118	36	2019-04-12	6:10:00	61722
50	S6160295Z	10:46:00	11.94	472	14	2019-11-01	10:26:00	30126
51	S6295714Z	7:42:00	15.66	219	167	2021-05-14	7:12:00	12084
52	S6323603I	16:29:00	11.69	184	602	2020-05-16	16:16:00	76938
53	S6550462F	14:59:55	6.29	15	174	2020-11-16	14:24:00	99758
54	S6550462F	15:49:00	2.82	64	805	2019-11-22	15:44:00	95471
55	S6743896E	15:49:50	1.07	147	590	2020-03-02	15:17:00	34741
56	S6839755C	19:55:15	2.84	143	16	2021-03-26	19:39:00	99758
57	S6848911C	12:12:10	2.52	NULL	518	2019-09-08	11:53:00	44913
58	S6848911C	11:31:00	18.28	153	16	2021-02-05	11:24:00	11641
59	S6848911C	15:56:00	15.66	223	805	2019-11-22	15:44:00	95471
60	S6848911C	22:09:00	18.74	251	732	2019-06-22	21:54:00	9015
61	S6887579Z	14:02:15	12	95	77	2020-12-19	13:54:00	39420
62	S6982849C	14:48:00	11.28	134	190	2019-07-17	14:24:00	9640
63	S7150598G	20:14:00	9.74	44	590	2019-09-01	19:28:00	82339
64	S7175442A	12:32:00	5.12	272	111	2020-07-03	12:11:00	54454
65	S7218182D	17:34:30	3.87	NULL	518	2019-10-14	17:12:00	61448
66	S7282785F	13:06:10	3.75	185	77	2021-05-14	12:34:00	92736
67	S7282785F	12:39:05	19.92	172	701	2019-02-24	12:31:00	87738
68	S7437119A	10:25:25	13.76	151	701	2020-01-05	10:17:00	39721
69	S7437119A	21:59:20	11.45	471	610	2019-02-28	21:54:00	54454
70	S7701799B	14:46:50	16.85	239	128	2020-09-10	14:30:00	12084
71	S7710002D	12:58:55	15.46	355	16	2019-06-08	12:28:00	12368
72	S7841845A	20:24:00	6.74	NULL	174	2019-04-27	19:57:00	56389
73	S7902489I	5:52:30	10.25	63	124	2019-02-16	5:30:00	61722
74	S8053199I	15:57:30	15.05	NULL	16	2019-02-21	15:43:00	80765
